condition,hemi,x,mean,se
intact_pause,Right PMC,16,0.037860211248515865,0.052227308284745026
intact_pause,Right PMC,17,0.051278887899906943,0.052144056127207024
intact_pause,Right PMC,18,0.10614517609451828,0.051951663576645421
intact_pause,Right PMC,19,0.1280911790066426,0.050025914055160228
intact_pause,Right PMC,20,0.1197574961382319,0.050612502238783032
intact_tom,Right PMC,-20,0.073231754512458336,0.047305361575323425
intact_tom,Right PMC,-19,0.035152708371441674,0.047753349607106893
intact_tom,Right PMC,-18,-0.0167215280953113,0.041708836523990649
intact_tom,Right PMC,-17,-0.056262998621683533,0.030601770225472877
intact_tom,Right PMC,-16,-0.12938352057879476,0.037893009859081506
intact_tom,Right PMC,-15,-0.13032941387773853,0.03647727845997948
intact_tom,Right PMC,-14,-0.149556270850319,0.043292749163146044
intact_tom,Right PMC,-13,-0.13058300460924369,0.037820658909778593
intact_tom,Right PMC,-12,-0.14604250682706341,0.032212195908459577
intact_tom,Right PMC,-11,-0.1296396156663287,0.027923046656996412
intact_tom,Right PMC,-10,-0.0815034865154044,0.03801238707548283
intact_tom,Right PMC,-9,0.0017031391532204309,0.043048661087161509
intact_tom,Right PMC,-8,0.05287537689600072,0.041400356901941299
intact_tom,Right PMC,-7,0.038767435854557573,0.033794733184183648
intact_tom,Right PMC,-6,0.015107986107554244,0.040222593328450032
intact_tom,Right PMC,-5,0.0078646035489781056,0.04504603750834886
intact_tom,Right PMC,-4,0.0004835983784334486,0.041550179306704502
intact_tom,Right PMC,-3,-0.0129250300446032,0.037185116923267016
intact_tom,Right PMC,-2,-0.071892534733123292,0.028746866948039896
intact_tom,Right PMC,-1,-0.13509957857841168,0.030764539317832192
intact_tom,Right PMC,0,-0.11546126630053986,0.030484365530652206
intact_tom,Right PMC,1,-0.099980427839726077,0.030725494083046652
intact_tom,Right PMC,2,0.085450368646237299,0.041202591446811876
intact_tom,Right PMC,3,0.25848309279659959,0.053648607367763015
intact_tom,Right PMC,4,0.32157844505610833,0.06438448322431517
intact_tom,Right PMC,5,0.17063138374900891,0.053971817662577505
intact_tom,Right PMC,6,-0.0074993143254822696,0.037868327639669602
intact_tom,Right PMC,7,-0.1942742609591166,0.03224191090531197
intact_tom,Right PMC,8,-0.29688264392274039,0.043917686901152067
intact_tom,Right PMC,9,-0.34163221823209705,0.046624109473974329
intact_tom,Right PMC,10,-0.33241342217993941,0.051699989971678864
intact_tom,Right PMC,11,-0.32353280187419936,0.055127779719576248
intact_tom,Right PMC,12,-0.22641604602950866,0.051186517136325389
intact_tom,Right PMC,13,-0.15129336061923562,0.052408722034645527
intact_tom,Right PMC,14,-0.058063529375503645,0.056644688305489008
intact_tom,Right PMC,15,0.03079934015337395,0.063786286480941562
intact_tom,Right PMC,16,0.14667417470628005,0.059454126186716354
intact_tom,Right PMC,17,0.19905891642439597,0.04726504230205953
intact_tom,Right PMC,18,0.20652451106719738,0.039501775908693519
intact_tom,Right PMC,19,0.26088314054289574,0.035821489482649078
intact_tom,Right PMC,20,0.25071782312666024,0.043553899260915768
scram_pause,Right PMC,-20,0.013022128032119797,0.031224657924099553
scram_pause,Right PMC,-19,-0.013224686369911426,0.035016093219525368
scram_pause,Right PMC,-18,-0.023854284765579901,0.035469205906272915
scram_pause,Right PMC,-17,-0.055992033875509585,0.031951756107647541
scram_pause,Right PMC,-16,-0.082419532904442774,0.03319868557375899
scram_pause,Right PMC,-15,-0.086758433837401686,0.02802766025864192
scram_pause,Right PMC,-14,-0.075258174372385384,0.029104442649490785
scram_pause,Right PMC,-13,-0.051369888393513148,0.03162180535817638
scram_pause,Right PMC,-12,-0.062895612072397189,0.031374382002652426
scram_pause,Right PMC,-11,-0.06951556311348156,0.035218979283400204
scram_pause,Right PMC,-10,-0.13543837050367699,0.042121359014390528
scram_pause,Right PMC,-9,-0.13608029658023699,0.040113789300057393
scram_pause,Right PMC,-8,-0.1256538536800241,0.047232957748900628
scram_pause,Right PMC,-7,-0.13065905615443424,0.039714917276202834
scram_pause,Right PMC,-6,-0.11348779864523577,0.037993443712624773
scram_pause,Right PMC,-5,-0.094044204929605191,0.041776707477907314
scram_pause,Right PMC,-4,-0.11714698755143982,0.038737636005156811
scram_pause,Right PMC,-3,-0.10716266317628448,0.035627148611851248
scram_pause,Right PMC,-2,-0.13347057671864049,0.027517282268552479
scram_pause,Right PMC,-1,-0.14248343958827886,0.040799250375097872
