parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
89,17Networks_LH_SalVentAttnA_Ins_1,LH,SalVentAttnA,Ins,Salience / ventral attention,-38.7,1.9,-4.6,0.09903507497078366,3.0397288876227346,0.007048558741157714,0.009622605789976403,True
90,17Networks_LH_SalVentAttnA_Ins_2,LH,SalVentAttnA,Ins,Salience / ventral attention,-39.8,-14.4,-1.7,0.11861335047986986,5.2782189360351435,5.104470716409714e-05,0.0001244992857660906,True
91,17Networks_LH_SalVentAttnA_Ins_3,LH,SalVentAttnA,Ins,Salience / ventral attention,-33.0,19.2,8.2,0.14195530602905332,3.543455739941104,0.0023214601739518295,0.003557793370041118,True
92,17Networks_LH_SalVentAttnA_Ins_4,LH,SalVentAttnA,Ins,Salience / ventral attention,-36.5,4.4,10.7,0.11245275902290006,3.5514552448921175,0.002280551673074368,0.0035357390280222763,True
93,17Networks_LH_SalVentAttnA_FrOper_1,LH,SalVentAttnA,FrOper,Salience / ventral attention,-50.5,1.5,4.4,0.15863260141630317,4.788984879137697,0.00014688792675654754,0.00030761869477811005,True
94,17Networks_LH_SalVentAttnA_FrOper_2,LH,SalVentAttnA,FrOper,Salience / ventral attention,-52.1,8.7,13.3,0.17271874582389393,4.724898939924171,0.00016898030171469145,0.0003466262599275722,True
95,17Networks_LH_SalVentAttnA_ParMed_1,LH,SalVentAttnA,ParMed,Salience / ventral attention,-11.0,-27.4,41.1,0.17334700494731145,6.687188286504753,2.8460609022633074e-06,1.1983414325319188e-05,True
96,17Networks_LH_SalVentAttnA_ParMed_2,LH,SalVentAttnA,ParMed,Salience / ventral attention,-12.6,-41.5,47.3,0.17004075542068545,7.235560939713157,9.934292998642146e-07,5.443448218434052e-06,True
97,17Networks_LH_SalVentAttnA_ParMed_3,LH,SalVentAttnA,ParMed,Salience / ventral attention,-5.8,-49.1,57.0,0.17526518425991638,6.6691718637211,2.9482402947525573e-06,1.228433456146899e-05,True
98,17Networks_LH_SalVentAttnA_FrMed_1,LH,SalVentAttnA,FrMed,Salience / ventral attention,-6.5,0.8,40.5,0.08533725791045119,3.797381244064157,0.0013190654916507322,0.0021535763128991544,True
99,17Networks_LH_SalVentAttnA_FrMed_2,LH,SalVentAttnA,FrMed,Salience / ventral attention,-5.3,9.3,48.4,0.17016753044598093,3.956076578329861,0.0009261541849437975,0.001576432655223485,True
100,17Networks_LH_SalVentAttnA_FrMed_3,LH,SalVentAttnA,FrMed,Salience / ventral attention,-8.5,-2.7,70.9,0.10855815599812617,3.125355414251312,0.005845710011695624,0.008204505279572805,True
101,17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnB,PFCl,Salience / ventral attention,-38.2,49.1,11.0,0.12083441724661553,5.459609308542432,3.4716731947621414e-05,9.257795186032376e-05,True
102,17Networks_LH_SalVentAttnB_PFCl_2,LH,SalVentAttnB,PFCl,Salience / ventral attention,-28.9,43.3,29.5,0.1386486353270862,5.18167028187436,6.276328709729435e-05,0.00014943639785070084,True
103,17Networks_LH_SalVentAttnB_PFCl_3,LH,SalVentAttnB,PFCl,Salience / ventral attention,-35.9,32.0,38.5,0.10334047832377743,4.137286882143095,0.0006187187473821257,0.0011048549060395103,True
104,17Networks_LH_SalVentAttnB_Ins_1,LH,SalVentAttnB,Ins,Salience / ventral attention,-33.4,16.5,-8.3,0.08277151295347639,3.685424537526129,0.0016927222795459105,0.0026762407581753527,True
105,17Networks_LH_SalVentAttnB_Ins_2,LH,SalVentAttnB,Ins,Salience / ventral attention,-32.9,24.6,-0.8,0.11837511850468266,3.0887191304085166,0.00633364749852146,0.008766294115600636,True
106,17Networks_LH_SalVentAttnB_Ins_3,LH,SalVentAttnB,Ins,Salience / ventral attention,-43.3,11.9,2.3,0.14446457622165,4.014740304462751,0.0008127073493477262,0.0014134040858221324,True
107,17Networks_LH_SalVentAttnB_OFC_1,LH,SalVentAttnB,OFC,Salience / ventral attention,-27.1,49.3,-13.7,0.14205094005804625,2.8200220570735075,0.011339214488813172,0.014822502599755781,True
108,17Networks_LH_SalVentAttnB_PFCmp_1,LH,SalVentAttnB,PFCmp,Salience / ventral attention,-6.0,21.8,31.1,0.13823450709175353,4.891678264263541,0.00011743552743336234,0.00025391465390997266,True
109,17Networks_LH_LimbicB_OFC_1,LH,LimbicB,OFC,Limbic,-12.4,24.3,-20.5,-0.02485600867358962,-1.318847638684473,0.20375388165016145,0.21669684068722758,False
110,17Networks_LH_LimbicB_OFC_2,LH,LimbicB,OFC,Limbic,-23.6,22.4,-19.7,0.09384662698010042,3.877105916972435,0.0011043462488714365,0.0018482782407890149,True
111,17Networks_LH_LimbicB_OFC_3,LH,LimbicB,OFC,Limbic,-10.6,47.3,-21.3,-0.03688839993849973,-1.4696305804996117,0.1589242237620711,0.1722755813138982,False
112,17Networks_LH_LimbicB_OFC_4,LH,LimbicB,OFC,Limbic,-3.9,23.3,-18.9,0.024366540700277193,0.6159185879647049,0.5456587067691464,0.5525657790067305,False
113,17Networks_LH_LimbicB_OFC_5,LH,LimbicB,OFC,Limbic,-15.4,64.3,-8.5,0.1998897112346457,4.078185030797454,0.0007056567437100659,0.001243448006537561,True
114,17Networks_LH_LimbicA_TempPole_1,LH,LimbicA,TempPole,Limbic,-37.4,-5.5,-42.3,0.13355337705118184,3.6488110720513083,0.0018364883765828912,0.0028807660809143393,True
115,17Networks_LH_LimbicA_TempPole_2,LH,LimbicA,TempPole,Limbic,-25.1,5.8,-38.3,0.1838265778797049,2.991875329460225,0.007822367428470409,0.010499822051638134,True
116,17Networks_LH_LimbicA_TempPole_3,LH,LimbicA,TempPole,Limbic,-25.6,-9.0,-32.6,0.02374107873242352,0.8453048276746451,0.4090368610593689,0.4173845521013968,False
117,17Networks_LH_LimbicA_TempPole_4,LH,LimbicA,TempPole,Limbic,-53.8,-21.4,-31.4,0.11639045191307498,3.0985393034640514,0.006199093551362239,0.008639851639529253,True
118,17Networks_LH_LimbicA_TempPole_5,LH,LimbicA,TempPole,Limbic,-40.1,-21.8,-26.6,0.07681785283821767,2.7358922866594613,0.013574592455811618,0.017572287968688177,True
119,17Networks_LH_LimbicA_TempPole_6,LH,LimbicA,TempPole,Limbic,-31.5,11.5,-29.4,0.1075817995237078,7.311838073124175,8.609100837780147e-07,4.850197655087406e-06,True
