parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
117,17Networks_LH_LimbicA_TempPole_4,LH,LimbicA,TempPole,Limbic,-53.8,-21.4,-31.4,0.040328771153148577,1.088809975629539,0.29342234302269826,0.3009459928437931,False
118,17Networks_LH_LimbicA_TempPole_5,LH,LimbicA,TempPole,Limbic,-40.1,-21.8,-26.6,0.1473365317977659,4.19642359867457,0.0007785071442157302,0.0014416798966957966,True
119,17Networks_LH_LimbicA_TempPole_6,LH,LimbicA,TempPole,Limbic,-31.5,11.5,-29.4,0.10757300432568778,4.990052900102272,0.00016145257213395412,0.0004011244028172773,True
120,17Networks_LH_LimbicA_TempPole_7,LH,LimbicA,TempPole,Limbic,-44.2,5.3,-16.2,0.16974064534727734,8.123900135959719,7.122387326499037e-07,6.948670562438085e-06,True
121,17Networks_LH_ContA_Temp_1,LH,ContA,Temp,Frontoparietal control,-55.1,-61.7,-0.7,0.21198593312111166,5.851964365983906,3.183194775444705e-05,0.00011575253728889838,True
122,17Networks_LH_ContA_IPS_1,LH,ContA,IPS,Frontoparietal control,-28.8,-74.2,42.3,0.2066357422790227,6.878682172898751,5.246140366744072e-06,2.874597461229628e-05,True
123,17Networks_LH_ContA_IPS_2,LH,ContA,IPS,Frontoparietal control,-58.3,-41.6,45.6,0.15511546865803053,4.301178405573707,0.0006303081643575507,0.0011996370770327221,True
124,17Networks_LH_ContA_IPS_3,LH,ContA,IPS,Frontoparietal control,-34.4,-62.1,47.9,0.21346302597270367,7.074521018933235,3.7808668119329184e-06,2.2383965690834558e-05,True
125,17Networks_LH_ContA_IPS_4,LH,ContA,IPS,Frontoparietal control,-45.0,-41.3,46.7,0.11640683361138943,4.015046907471668,0.001124381662319819,0.001963985436366496,True
126,17Networks_LH_ContA_IPS_5,LH,ContA,IPS,Frontoparietal control,-33.1,-46.5,40.9,0.09936642240328164,3.778077380625123,0.001823156232187158,0.002917049971499453,True
127,17Networks_LH_ContA_PFCd_1,LH,ContA,PFCd,Frontoparietal control,-21.2,5.1,64.0,0.18162468483957495,5.773277686024459,3.676775151545325e-05,0.00012788783135809825,True
128,17Networks_LH_ContA_PFClv_1,LH,ContA,PFClv,Frontoparietal control,-47.9,35.1,10.5,0.11688806458825153,4.972857158587754,0.00016692922958186593,0.0004096422811824931,True
129,17Networks_LH_ContA_PFClv_2,LH,ContA,PFClv,Frontoparietal control,-41.6,37.7,21.9,0.1935181793656585,5.570938844146308,5.347145695618589e-05,0.00017531625231536358,True
130,17Networks_LH_ContA_PFCl_1,LH,ContA,PFCl,Frontoparietal control,-49.4,6.0,25.6,0.16693126162296176,5.025432512485659,0.00015076007254156705,0.0003816710697254862,True
131,17Networks_LH_ContA_PFCl_2,LH,ContA,PFCl,Frontoparietal control,-44.4,20.2,27.2,0.14787701382780086,5.829950349305032,3.313911174183885e-05,0.0001173065902365977,True
132,17Networks_LH_ContA_PFCl_3,LH,ContA,PFCl,Frontoparietal control,-39.2,7.4,33.5,0.17848381777297387,6.740010135604329,6.63634476061414e-06,3.3181723803070695e-05,True
133,17Networks_LH_ContA_Cingm_1,LH,ContA,Cingm,Frontoparietal control,-3.3,6.4,28.5,0.07797040441197062,3.8782498494537156,0.0014857178306481391,0.0024970047573918304,True
134,17Networks_LH_ContB_Temp_1,LH,ContB,Temp,Frontoparietal control,-60.2,-36.4,-18.1,0.16184259285677902,4.137269415624066,0.0008774410985605837,0.001588128685177527,True
135,17Networks_LH_ContB_Temp_2,LH,ContB,Temp,Frontoparietal control,-60.5,-48.9,-9.7,0.1565813584364881,5.401157687964196,7.352555489501585e-05,0.00022798621672873135,True
136,17Networks_LH_ContB_IPL_1,LH,ContB,IPL,Frontoparietal control,-48.9,-59.5,46.9,0.1740385036206052,6.015171849707727,2.366929673457523e-05,9.016874946504849e-05,True
137,17Networks_LH_ContB_IPL_2,LH,ContB,IPL,Frontoparietal control,-53.2,-49.6,44.8,0.12135261006046391,4.362410429793992,0.0005573576151791051,0.0010822477964642818,True
138,17Networks_LH_ContB_IPL_3,LH,ContB,IPL,Frontoparietal control,-42.1,-52.2,48.6,0.16584892933904216,5.8539814606224985,3.171489017888244e-05,0.00011575253728889838,True
139,17Networks_LH_ContB_PFCd_1,LH,ContB,PFCd,Frontoparietal control,-29.9,13.6,57.2,0.14538223940482456,6.005582596420873,2.408252155401532e-05,9.087743982647291e-05,True
140,17Networks_LH_ContB_PFClv_1,LH,ContB,PFClv,Frontoparietal control,-41.9,49.1,-6.5,0.040216380892116356,1.1391604833057587,0.27250224074575036,0.28093014509871167,False
141,17Networks_LH_ContB_PFClv_2,LH,ContB,PFClv,Frontoparietal control,-28.0,58.4,-0.7,0.0878272331209611,1.8631444737344627,0.08214054055271808,0.0897710825712766,False
