subid,cond,pmc_full,pmc_diag,pmc_ge1,pmc_ge2,pmc_ge3,pmc_ge4,pmc_ge5,pmc_ge6,pmc_ge7,pmc_ge8,pmc_ge9
sub-041,scram_pause,0.005983373950559425,-0.0013309944794700262,0.006796081553896027,0.00874441928341002,0.011248112538906768,0.01600426598217382,0.023118775150243367,0.03200333740386498,0.04193930339604617,0.050064266308208934,0.06227209353612609
sub-042,scram_pause,0.07843575096018973,0.10631586229066826,0.07533796081235877,0.06864537740532745,0.05889167244608147,0.04964336812921184,0.04273365506809662,0.03832047853510103,0.038166785665598855,0.04609847410287672,0.03477656326013076
sub-043,scram_pause,0.08829508054406787,0.12782684294924798,0.08390266249904788,0.0731215915096793,0.058520508555025295,0.044726043620250865,0.029835829818504935,0.01792038846146981,0.004510678308444094,-0.014503776961008349,-0.044218781115604025
sub-047,scram_pause,0.0983877837840458,0.1184158358181312,0.09616244466914745,0.09049193252822872,0.08347129631660598,0.07475746509783249,0.06724733293281322,0.05904870684221848,0.05173953515099267,0.03109002247170247,0.0074564707738889666
sub-050,scram_pause,0.11710698960933745,0.1385322966232759,0.11472639994112209,0.11057902009752632,0.10807728399781841,0.10762338202227169,0.10629624733323399,0.10056852599197914,0.08731445161214356,0.07153410825626871,0.05385867729535977
sub-051,scram_pause,0.11940598905122478,0.10820126499509991,0.12065095839079418,0.12372434341397594,0.1247219499434293,0.12627957149847102,0.12457949309040274,0.11793514729059448,0.10758414298849456,0.0862235325228102,0.05584544903324698
sub-052,scram_pause,0.1268086479480325,0.1726557339538622,0.12171452728071813,0.10962464873679797,0.09692832565971755,0.08293536689188326,0.0666742534132913,0.0521041185142935,0.03609827203074765,0.013588647034996088,-0.004013742452902898
sub-053,scram_pause,0.07177747491267684,0.07496450194629266,0.07142336079783064,0.07367553032557071,0.07663118808548341,0.08256516950764407,0.08893064651381064,0.09719646849426879,0.10579182251880685,0.11845819059489428,0.11929628445033542
sub-067,scram_pause,0.07263679287663755,0.08588078631653338,0.07116523804998245,0.07060338946334307,0.06524952895646419,0.06091382592179508,0.05424155191426756,0.04767338082936005,0.03686545881595164,0.02075029672106663,0.0007746659731028054
sub-068,scram_pause,0.024156546448120746,0.05295108365545282,0.02095715342508385,0.017231426778849618,0.0138980718839395,0.009396574835164418,0.0024019935322470874,-0.0036742374013827607,-0.010751939735985101,-0.022201644133756946,-0.037582222625252244
sub-082,scram_pause,0.003181148016961396,-0.009024521704697861,0.004537333541590201,0.00603713573916466,0.0038282563835368923,0.0010325990286530085,-0.0023948839659512226,-0.008410376043435116,-0.017872401622293026,-0.032203295207510044,-0.033402358623852366
sub-096,scram_pause,0.010517126578522894,0.033095534456822756,0.008008414592045116,-0.0006179665790235236,-0.010611752759978095,-0.021873590143627858,-0.03458965372378663,-0.0440933266650857,-0.0530154410975728,-0.05634470179998588,-0.049356135850167224
sub-097,scram_pause,0.03156371961562192,0.05688124383657511,0.028750661368849333,0.022681239574842547,0.016784306681418074,0.008536795002562311,0.0009424808981367462,-0.003917946229897705,-0.002174378580119942,0.0021463317820382714,-0.038254501624415446
sub-098,scram_pause,0.07597997206646576,0.0754518867672411,0.07603864821082407,0.07683306972153237,0.07974901843223411,0.08326129919590347,0.08869477415424937,0.09012750271203977,0.08713158720281833,0.07047410595902838,0.052258026612747206
sub-102,scram_pause,0.12976408957132796,0.13120685120595846,0.12960378272303566,0.12887435221028046,0.12870864750439695,0.1284010394427912,0.1294884223551022,0.12845424259977165,0.1242788188075614,0.1109393651051309,0.07967681280551916
