parcel_id,full_label,hemisphere,network,subregion,x_mni,y_mni,z_mni
271,17Networks_RH_DorsAttnA_SPL_7,RH,DorsAttnA,SPL,26.7,-58.1,60.7
272,17Networks_RH_DorsAttnA_SPL_8,RH,DorsAttnA,SPL,13.5,-64.0,64.8
273,17Networks_RH_DorsAttnB_TempOcc_1,RH,DorsAttnB,TempOcc,59.3,-54.6,-2.6
274,17Networks_RH_DorsAttnB_PostC_1,RH,DorsAttnB,PostC,61.2,-14.2,30.2
275,17Networks_RH_DorsAttnB_PostC_2,RH,DorsAttnB,PostC,57.2,-22.5,44.0
276,17Networks_RH_DorsAttnB_PostC_3,RH,DorsAttnB,PostC,43.6,-37.6,50.0
277,17Networks_RH_DorsAttnB_PostC_4,RH,DorsAttnB,PostC,45.2,-28.2,42.9
278,17Networks_RH_DorsAttnB_PostC_5,RH,DorsAttnB,PostC,35.8,-36.0,51.5
279,17Networks_RH_DorsAttnB_PostC_6,RH,DorsAttnB,PostC,7.4,-53.7,59.8
280,17Networks_RH_DorsAttnB_PostC_7,RH,DorsAttnB,PostC,24.4,-50.0,68.2
